name,family_packet,power,multiplicity_packet,packet_centre,target_mode,rank,target,centre,multiplicity_moat,radius,finite_eigenvalue_count,cluster_radius,nearest_outside_distance,radius_status,s_gamma_H,theta_min,d_Gamma0,m_gamma_X,epsilon_X,epsilon_m_gamma,pass_sampled_small_gain,selected_count,selected_eigenvalues,max_numeric_error,pass_sampled_packet,family_moat,count_ok,sampled_validation_pass,contour_interval_certified,validation_status,small_gain_diagnostic,target_identity_status,finite_section_status,contour_role,finite_count_certified,finite_count_matches,sampled_small_gain_pass,small_gain_pass,certified_small_gain_pass,riesz_rank_status
alpha^1,alpha,1,1,(0.65+0j),exact,1,alpha^1,0.65,1,0.1137500000000012,1,2.220446049250313e-15,0.2275000000000003,mid_gap,2.5075802874988888e-11,3.141592653589793,0.5362499999999988,39879082037.18654,1.1641169413997097e-17,4.64239150069577e-07,True,1,0.6500000000000022+0.00e+00i,2.220446049250313e-15,True,alpha packet,True,True,False,sampled_not_interval_certified,4.64239150069577e-07,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^2,alpha,2,1,(0.4225+0j),exact,2,alpha^2,0.4225,1,0.0612499999999998,1,3.3306690738754696e-16,0.1224999999999994,mid_gap,7.755189919633518e-12,3.141592653589793,0.3612500000000002,128945907239.2719,1.1641169413997097e-17,1.5010811514139188e-06,True,1,0.4224999999999997+1.16e-38i,2.7755575615628914e-16,True,alpha packet,True,True,False,sampled_not_interval_certified,1.5010811514139188e-06,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
mu^1,mu,1,2,(0.3+0j),exact,3,mu^1,0.3,2,0.012687500000001,2,6.106226635438361e-16,0.0253750000000014,mid_gap,7.545154758238321e-13,3.141592653589793,0.2873124999999989,1325353862236.0674,1.1641169413997097e-17,1.542866884378543e-05,True,2,0.2999999999999997+1.06e-37i; 0.3000000000000006-1.76e-38i,6.106226635438361e-16,True,mu packet,True,True,False,sampled_not_interval_certified,1.542866884378543e-05,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^3,alpha,3,1,(0.274625+0j),exact,4,alpha^3,0.274625,1,0.0126875000000005,1,1.4432899320127037e-15,0.0253749999999997,mid_gap,7.545171015776868e-13,0.0,0.2619374999999994,1325351006503.3796,1.1641169413997097e-17,1.542863559971741e-05,True,1,0.2746249999999986+1.20e-38i,1.4432899320127037e-15,True,alpha packet,True,True,False,sampled_not_interval_certified,1.542863559971741e-05,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^4,alpha,4,1,(0.17850625+0j),exact,5,alpha^4,0.17850625,1,0.0312385937499994,1,8.604228440844963e-16,0.062477187499998,mid_gap,3.3461037423806364e-12,3.141592653589793,0.1472676562500005,298855049631.1076,1.1641169413997097e-17,3.4790222629842342e-06,True,1,0.1785062499999992+1.16e-38i,8.326672684688674e-16,True,alpha packet,True,True,False,sampled_not_interval_certified,3.4790222629842342e-06,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^5,alpha,5,1,(0.1160290625+0j),exact,6,alpha^5,0.1160290625,1,0.0130145312500021,1,1.9567680809018384e-15,0.0260290625000023,mid_gap,4.3043747386307946e-13,3.141592653589793,0.1030145312499978,2323217797524.052,1.1641169413997097e-17,2.7044971966590692e-05,True,1,0.116029062500002+4.72e-38i,1.970645868709653e-15,True,alpha packet,True,True,False,sampled_not_interval_certified,2.7044971966590692e-05,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
mu^2,mu,2,2,(0.09+0j),exact,7,mu^2,0.09,2,0.0072905546874929,2,1.479372180313021e-14,0.0145811093749711,mid_gap,9.41514004861536e-14,3.141592653589793,0.082709445312507,10621190920543.611,1.1641169413997097e-17,0.00012364308288445597,True,2,0.08999999999999769-4.05e-38i; 0.0899999999999852+4.06e-38i,1.479372180313021e-14,True,mu packet,True,True,False,sampled_not_interval_certified,0.00012364308288445597,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^6,alpha,6,1,(0.075418890625+0j),exact,8,alpha^6,0.075418890625,1,0.007290554687507,1,2.886579864025407e-14,0.0145811093749851,mid_gap,9.41514004861536e-14,0.0,0.0681283359374929,10621190920543.611,1.1641169413997097e-17,0.00012364308288445597,True,1,0.07541889062502888+3.22e-38i,2.8879676428061885e-14,True,alpha packet,True,True,False,sampled_not_interval_certified,0.00012364308288445597,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^7,alpha,7,1,(0.04902227890625+0j),exact,9,alpha^7,0.04902227890625,1,0.0085788988086916,1,2.164934898019056e-15,0.0171577976173811,mid_gap,8.611542004688269e-14,3.141592653589793,0.0404433800975583,11612322153867.254,1.1641169413997097e-17,0.00013518100948308037,True,1,0.04902227890625218+4.99e-38i,2.1788126858268697e-15,True,alpha packet,True,True,False,sampled_not_interval_certified,0.00013518100948308037,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
alpha^8,alpha,8,1,(0.0318644812890625+0j),exact,10,alpha^8,0.0318644812890625,1,0.0024322406445105,1,1.9361595660072362e-13,0.0048644812888274,mid_gap,3.897392513269007e-15,3.141592653589793,0.0294322406445519,256581803499497.25,1.1641169413997097e-17,0.002986912243086561,True,1,0.03186448128886894-1.31e-38i,1.9356738434339612e-13,True,alpha packet,True,True,False,sampled_not_interval_certified,0.002986912243086561,theorem_certified,sampled_not_interval_certified,exact-model contour centre,False,True,True,True,False,sampled_pass_not_theorem_certified
